Food Item,Recipe
bread-wholemeal,Serve bread wholemeal with fresh herbs and olive oil.
jam,Use jam as a topping on pancakes.
water,Boil water for 5 minutes and season lightly.
bread-sourdough,Toast bread sourdough and spread with butter or jam.
banana,Mix banana with yogurt and a pinch of salt.
soft-cheese,Add soft cheese to a salad with tomatoes and cucumber.
ham-raw,Enjoy ham raw with a cup of tea or coffee.
hard-cheese,Add hard cheese to a salad with tomatoes and cucumber.
cottage-cheese,Grill cottage cheese until golden brown and serve hot.
bread-half-white,Use bread half white as a topping on pancakes.
coffee-with-caffeine,Toast coffee with caffeine and spread with butter or jam.
fruit-salad,Toast fruit salad and spread with butter or jam.
pancakes,Serve pancakes with fresh herbs and olive oil.
tea,Use tea as a topping on pancakes.
salmon-smoked,Enjoy salmon smoked with a cup of tea or coffee.
avocado,Add avocado to a salad with tomatoes and cucumber.
spring-onion-scallion,Add spring onion scallion to a salad with tomatoes and cucumber.
ristretto-with-caffeine,Serve ristretto with caffeine with fresh herbs and olive oil.
ham,Mix ham with yogurt and a pinch of salt.
egg,Blend egg with milk and honey for a smoothie.
bacon-frying,Toast bacon frying and spread with butter or jam.
chips-french-fries,Serve chips french fries with fresh herbs and olive oil.
juice-apple,Serve juice apple with fresh herbs and olive oil.
chicken,Use chicken as a topping on pancakes.
tomato-raw,Grill tomato raw until golden brown and serve hot.
broccoli,Mix broccoli with yogurt and a pinch of salt.
shrimp-boiled,Toast shrimp boiled and spread with butter or jam.
beetroot-steamed-without-addition-of-salt,Toast beetroot steamed without addition of salt and spread with butter or jam.
carrot-raw,Enjoy carrot raw with a cup of tea or coffee.
chickpeas,Layer chickpeas in a sandwich with lettuce and mayo.
french-salad-dressing,Enjoy french salad dressing with a cup of tea or coffee.
pasta-hornli,Boil pasta hornli for 5 minutes and season lightly.
sauce-cream,Toast sauce cream and spread with butter or jam.
meat-balls,Enjoy meat balls with a cup of tea or coffee.
pasta,Enjoy pasta with a cup of tea or coffee.
tomato-sauce,Serve tomato sauce with fresh herbs and olive oil.
cheese,Blend cheese with milk and honey for a smoothie.
pear,Enjoy pear with a cup of tea or coffee.
cashew-nut,Blend cashew nut with milk and honey for a smoothie.
almonds,Grill almonds until golden brown and serve hot.
lentils,Boil lentils for 5 minutes and season lightly.
mixed-vegetables,Serve mixed vegetables with fresh herbs and olive oil.
peanut-butter,Use peanut butter as a topping on pancakes.
apple,Grill apple until golden brown and serve hot.
blueberries,Grill blueberries until golden brown and serve hot.
cucumber,Serve cucumber with fresh herbs and olive oil.
cocoa-powder,Use cocoa powder as a topping on pancakes.
greek-yaourt-yahourt-yogourt-ou-yoghourt,Use greek yaourt yahourt yogourt ou yoghourt as a topping on pancakes.
maple-syrup-concentrate,Add maple syrup concentrate to a salad with tomatoes and cucumber.
buckwheat-grain-peeled,Toast buckwheat grain peeled and spread with butter or jam.
butter,Use butter as a topping on pancakes.
herbal-tea,Mix herbal tea with yogurt and a pinch of salt.
mayonnaise,Serve mayonnaise with fresh herbs and olive oil.
soup-vegetable,Blend soup vegetable with milk and honey for a smoothie.
wine-red,Add wine red to a salad with tomatoes and cucumber.
wine-white,Enjoy wine white with a cup of tea or coffee.
green-bean-steamed-without-addition-of-salt,Toast green bean steamed without addition of salt and spread with butter or jam.
sausage,Grill sausage until golden brown and serve hot.
pizza-margherita-baked,Add pizza margherita baked to a salad with tomatoes and cucumber.
salami,Boil salami for 5 minutes and season lightly.
mushroom,Layer mushroom in a sandwich with lettuce and mayo.
bread-meat-substitute-lettuce-sauce,Grill bread meat substitute lettuce sauce until golden brown and serve hot.
tart,Boil tart for 5 minutes and season lightly.
tea-verveine,Use tea verveine as a topping on pancakes.
rice,Toast rice and spread with butter or jam.
white-coffee-with-caffeine,Toast white coffee with caffeine and spread with butter or jam.
linseeds,Toast linseeds and spread with butter or jam.
sunflower-seeds,Grill sunflower seeds until golden brown and serve hot.
ham-cooked,Serve ham cooked with fresh herbs and olive oil.
bell-pepper-red-raw,Toast bell pepper red raw and spread with butter or jam.
zucchini,Layer zucchini in a sandwich with lettuce and mayo.
green-asparagus,Mix green asparagus with yogurt and a pinch of salt.
tartar-sauce,Grill tartar sauce until golden brown and serve hot.
lye-pretzel-soft,Use lye pretzel soft as a topping on pancakes.
cucumber-pickled,Mix cucumber pickled with yogurt and a pinch of salt.
curry-vegetarian,Add curry vegetarian to a salad with tomatoes and cucumber.
yaourt-yahourt-yogourt-ou-yoghourt-natural,Use yaourt yahourt yogourt ou yoghourt natural as a topping on pancakes.
soup-of-lentils-dahl-dhal,Add soup of lentils dahl dhal to a salad with tomatoes and cucumber.
soup-cream-of-vegetables,Mix soup cream of vegetables with yogurt and a pinch of salt.
balsamic-vinegar,Toast balsamic vinegar and spread with butter or jam.
salmon,Grill salmon until golden brown and serve hot.
salt-cake-vegetables-filled,Toast salt cake vegetables filled and spread with butter or jam.
bacon,Add bacon to a salad with tomatoes and cucumber.
orange,Serve orange with fresh herbs and olive oil.
pasta-noodles,Enjoy pasta noodles with a cup of tea or coffee.
cream,Add cream to a salad with tomatoes and cucumber.
cake-chocolate,Enjoy cake chocolate with a cup of tea or coffee.
pasta-spaghetti,Serve pasta spaghetti with fresh herbs and olive oil.
